"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Market.Cap","cluster"
"PG 2014",11.0609023487747,-0.802573137446549,-0.049516485678986,0.7241278798315,-6.02968557163436,212661418090.84,"1"
"VIPS 2014",-0.345978946564917,0.157919818334415,-0.000419615057847211,0.00391815967790968,0.0719875305180325,6253200000,"2"
"KR 2014",2.15726292719666,-0.432451645406646,-0.00863577889135817,0.10868045568457,-0.435577580308593,18274698937.28,"3"
"RAD 2014",-0.00510247762968666,-0.300873854613347,-0.0191226300072336,-0.00404618067044403,0.305117165745858,6359738316.4,"2"
"GIS 2014",1.29204227091382,-0.282512773602338,0.0511834594878867,0.115555165832849,-0.735791384677868,33330057253.44,"3"
"PM 2014",6.62070913646218,-1.42376934425416,0.155515872041876,0.394437649339896,-3.51892453812881,126550098153,"4"
"KO 2014",8.26960714879835,-1.25353338111137,-0.0189690538091731,0.489827639819672,-4.16323231906513,184928364569.22,"5"
"WMT 2014",17.417087129137,-3.36359756133706,0.329087330304874,1.47861119256197,-7.05550264501906,241647485072.4,"6"
"MDLZ 2014",2.29480407120132,-0.463457165608699,-0.0549967904830323,0.0220088604231087,-0.462655492721706,61031608766.1,"3"
"MO 2014",4.00083075702814,-0.734938001768222,0.197322944235064,0.283221616812885,-2.67612929132928,97380679954.74,"7"
"ABEV 2014",3.37372255378355,0.0606966640519585,-0.0527204949044085,0.672916495634077,-2.77541897999472,73093350000,"7"
"TAL 2014",-0.507029718923119,0.0421798470393979,0.00451591228214572,0.00922825474234914,-0.0193524020838777,15073300000,"2"
"BRFS 2014",-0.0135907657418539,-0.182424764880131,0.00462092302892456,-0.0663136262600454,-0.00291657481461708,4241530000,"2"
"KHC 2014",0.248560775709913,-0.549306489652144,-0.00853379337653946,-0.00104501402770713,0.532963380735537,88488316765.44,"8"
"NWL 2014",-0.0639522059377444,-0.0322360458562362,-0.00141619485731243,0.0122523098997813,-0.0962144254100587,10326199000,"2"
"KMB 2014",1.30897654369124,-0.215992161167578,0.0447302219273058,0.1604726662696,-0.765630372146196,43033471612.74,"3"
"CPB 2014",0.251520068192402,0.105843638472507,0.0210092085655075,-0.00676714109676156,-0.142457903191007,13256605154.23,"2"
"TGT 2014",2.66125357272033,-0.502356563450716,0.0513194001325394,0.373296934734067,-0.710975258122385,35023979401.59,"3"
"HRL 2014",-0.143501752024629,-0.023400542944667,0.0302368225752642,0.0793228908011395,-0.326852225554215,13839371363.31,"2"
"CAG 2014",0.40835343433304,-0.327034425485184,-0.00382818307759762,-0.00433600510190121,0.0416488507444379,10343636363.0864,"2"
"PEP 2014",7.41914873538909,-1.19382010702418,-0.00897159711624039,0.502093270128252,-3.17215429485957,144766700314.6,"4"
"COST 2014",1.78026304255713,0.264037720700356,0.0400383554672392,0.135763925554296,-0.333823122094334,53279224805.76,"3"
"COTY 2014",-0.146516225141399,-0.0567475905312551,-0.00784840402243389,-0.0228244060334259,0.14110665751296,6499584972.51,"2"
"MNST 2014",-0.283780169754535,0.0948870639710665,0.0260005469202579,0.0394591739279855,-0.11072748466275,18163585395.792,"2"
"SJM 2014",-0.0772472521639653,-0.017558588797384,0.0221524715831813,0.0427593419800754,-0.114800460770013,10024646235.8,"2"
"CL 2014",2.14159572524499,-0.0775772042413004,0.0571893443752038,0.149080690189041,-1.22806016363928,63059649622.42,"3"
"ADM 2014",1.20320104388288,-0.119662743846627,0.0412740393745317,0.34197392010378,-0.718823138565586,33476952912,"3"
"DG 2014",0.126916681408386,-0.137321883361434,0.0522208191135498,0.0813204298326694,-0.170683012506462,18036771287.04,"2"
"TAP 2014",0.0876509674475046,-0.0735922584470038,-0.00999697089269507,0.0711551676111663,-0.212417093930825,12239223074.64,"2"
"SYY 2014",0.940641742463926,-0.0629473532100687,0.019082603009379,0.0689780387694919,-0.653917444772825,21892118150.35,"9"
"CHD 2014",-0.202909869669326,-0.0322014232750346,0.0195886265037516,0.0458019894568591,-0.204930985802649,10542776620.05,"2"
"BG 2014",0.211878822640069,-0.0762847061782242,0.00882565846884041,0.0456756227081381,-0.172403379452733,13199713450.36,"2"
"PBH 2014",-0.471277203935019,-0.00796070508858841,0.00671036471371848,-0.00137699373836593,0.0159371143845294,1411554877.75,"2"
"BIG 2014",-0.298919890566236,0.0184478911338022,0.00691104050709381,0.0129481358369104,-0.120223737328761,1501585605.84,"2"
"STZ 2014",0.393510085547463,-0.100305394055225,0.00130999805395148,-0.0599374497801582,-0.0186903212445931,15400713974.34,"2"
"SFM 2014",-0.440919571665506,0.0118921261259346,0.00939260571791369,0.0130711510271328,-0.0250901085418012,4975359330.56,"2"
"AVP 2014",0.0176108597725041,-0.106277455892829,0.0557842855931,-0.0190727271670294,-0.0767819419861172,4081416675.57,"2"
"HMHC 2014",-0.578881866311607,0.0437933533041186,0.00392984190509102,0.0426577640317467,0.118484578090049,2930050033.73,"2"
"POST 2014",-0.400903430070584,-0.14662837893453,-0.00799750045011872,-0.0424083854550606,0.213613957951572,1487251825.92,"2"
"EL 2014",0.787397732133167,0.145247882044348,0.0205447434856964,0.0508463309844463,-0.408123789616601,28426618317.98,"9"
"PPC 2014",-0.338430236040721,0.0676540878511536,0.0414146905015019,0.099573323654647,-0.0981573280418555,8734458992.76,"2"
"DLTR 2014",-0.159427481340503,0.0762583968045285,0.0315759594009395,0.0410932849573415,-0.0606860851706269,10338109721.28,"2"
"GNC 2014",-0.332958306366005,-0.0276038434793236,0.0149371935199211,0.0103856870832161,-0.0444887008243023,4172982483.44,"2"
"DF 2014",-0.358448327684528,-0.0170969906477752,-0.00560119808701388,-0.00148287523201591,-0.00511760646826159,1818284759.34,"2"
"HLF 2014",-0.105891385366788,-0.00286940227284224,0.000118568791875751,0.00337488093538163,0.0164342917443545,3460854985.9,"2"
"BUD 2014",9.70636877393564,-1.64866774893483,-0.0518161753322128,0.545629348241786,-3.50721499743689,164078600000,"10"
"CHGG 2014",-0.491212205410325,0.142859440768856,0.00214592449032103,-0.0200696359316056,0.06842578773398,579399955.17,"2"
"AGRO 2014",-0.503742324555769,0.00330257740380452,0.00543184541859191,0.00595181004390801,0.00821514355107647,872320000,"2"
"CASY 2014",-0.365373935192601,-0.0163430531009834,0.00682175259377019,0.0184667113870236,-0.0412659775540035,2642588620.42,"2"
"MGPI 2014",-0.532305773333133,0.0244692691611886,0.00555311499624836,0.00615058287044628,-0.0247131520048406,279802913,"2"
"EDU 2014",-0.384808252504673,0.0678490733837647,0.00120402022731692,0.0253798175453635,-0.0648911249102116,15716260000,"2"
"TSN 2014",0.31098808388385,-0.218669127391953,0.0250637914927475,-0.0377256233518677,0.0732071658464397,13663479265.8,"2"
"MKC 2014",-0.177779917845112,0.00465447301786345,0.00941249841156259,0.0256093516349218,-0.128204565011512,9545067482.06,"2"
"HAIN 2014",-0.427184832031728,0.013517438555845,0.00968304889805808,0.00197629695743067,-0.00311744431932853,4447165433.22,"2"
"HSY 2014",0.253535539417692,-0.0975972461490471,0.0359097155437169,0.0614759783271572,-0.478316559837729,22954968070.37,"2"
"PFGC 2014",-0.36045604466827,-0.0675683843180676,0.000956597094062634,-0.00554587596580021,0.0132478416787829,1949080059,"2"
"UN 2014",4.14745943097508,0.542208717015728,0.139335736694464,0.766203691874227,-3.12258799335063,108134310000,"7"
"CHEF 2014",-0.519006938464163,0.015947326857825,0.00619269613301827,0.00376878157667393,-0.0199430244768495,552016967.33,"2"
"PRMW 2014",-0.545685162089274,0.029931832011824,0.00558410326286302,0.00374361055611243,-0.00318100064526043,105725588.69,"2"
"FRPT 2014",-0.551281862827449,0.0231666580347483,0.00602805568417785,0.00434925740078047,-0.00922764307554706,570958552.56,"2"
"FMX 2014",0.846991454413235,-0.301147874065748,0.00252372282398423,0.186066075507231,-0.452680158526181,20809440000,"9"
"CLX 2014",0.0766522121065016,0.0983128610147926,0.0194993959031884,0.0112740032621285,-0.160915159701794,11752874650,"2"
"VGR 2014",-0.394638101330311,-0.0207060180934251,0.00538422243674998,0.00387670381176413,-0.0613247667569726,2325460330.0775,"2"
"SPB 2014",-0.253173849083211,0.0900799286256119,0.0020802417729311,-0.0116254202986058,0.182483374153349,2697987712.3473,"2"
"PETS 2014",-0.525267339890984,0.0236824706112267,0.00639382214842537,0.00632323451148492,-0.0304363757702777,270751560.93,"2"
"THS 2014",-0.390871325319723,0.011803699851013,0.00541991218156209,-0.0119027372612086,0.0512581348194156,3620213855.43,"2"
"OLLI 2014",-0.49115084028211,-0.012301531399599,0.00568300703905465,-0.0076461160259782,0.0196640888385264,1220808499.2,"2"
"BURL 2014",-0.231572643619042,-0.0476909074027914,-0.00333932516464021,0.0124570192848398,-0.0821245727906171,1799579033.2,"2"
"IPAR 2014",-0.498339185129383,0.0170994463269181,0.00658249099552384,0.00918118415697504,-0.0503969870665474,849381726.6,"2"
"INGR 2014",-0.217285613447405,-0.0678452411693098,0.0129882155984753,0.0474214592308283,-0.118339403502076,6096856920,"2"
"SAFM 2014",-0.423795678020927,0.0564453285300027,0.016130967175205,0.0252622560320059,-0.0645418417129115,1937488471.36,"2"
"DEO 2014",2.45328030894116,-0.670069484881437,-0.0114796481595811,0.236029989904898,-0.952745096210598,46812258191.88,"11"
"UNFI 2014",-0.390153479477383,0.0179615356914619,0.0101369450929936,-0.00383484294900963,-0.0451259123103074,2976590279.3,"2"
"UL 2014",4.2620856996833,0.499813097191528,0.137384979547564,0.756881706172381,-3.20996350632019,160399658582.13,"7"
"LOPE 2014",-0.483547044022878,0.0238189998056755,0.0113610111929353,0.0181870220732226,-0.0413130590873151,2179094509.64,"2"
"EPC 2014",-0.150038713673755,0.0469525240584306,-0.00686530178118462,-0.00106764232174911,-0.0232474927574969,5641037443.779,"2"
"CCU 2014",-0.33789905115782,-0.001624371004835,0.0074137407648868,0.0295553292611413,-0.132210659046276,4582450000,"2"
"CALM 2014",-0.47372052152281,0.0207740117801881,0.00945139502252592,0.015629560562995,-0.0620846418802354,1679892764.79,"2"
"CORE 2014",-0.474776998713324,0.0183156507045468,0.00592912378148323,0.00860517670327149,-0.0422893385171324,1431512817.02,"2"
"CRESY 2014",-0.527230875332827,-0.0259547635754034,-0.00024306116876748,0.00891700253457569,0.0208926292650789,1161680000,"2"
"FIZZ 2014",-0.518065549121486,0.0195921740893813,0.00700711267343466,0.0100881490585437,-0.0303585919916991,879391134.7,"2"
"UVV 2014",-0.425636772556965,0.0190686523555623,0.0114812554248386,-0.00322478830947575,-0.0750798457987295,1297559677.68,"2"
"FDP 2014",-0.421584003722737,0.0354875665263112,0.00246086710822443,0.0142150265297755,-0.0592041289860216,1895568839.19,"2"
"NUS 2014",-0.260071053816105,0.0257218247900145,0.00949006202291632,-0.013793176654565,-0.136800435450759,2590718753.4,"2"
"PSMT 2014",-0.475506431391286,0.0281592821441237,0.00780216597958197,0.0140274410695684,-0.0408940978645026,2730041190.52,"2"
"CENTA 2014",-0.473951679025444,0.0330732857826512,0.00360301133982725,-0.0144361922529162,0.0128225111851179,55432203.6,"2"
"LBY 2014",-0.513445015219502,0.0134605356405719,0.00545024719568347,0.00352927358692337,0.00993713898201879,681161968.08,"2"
"HELE 2014",-0.425230484955212,0.085437185307523,0.00274988010563049,-0.00431644164619223,-0.00613429079437014,2094103889.22,"2"
"CVGW 2014",-0.528811910443622,0.0199535424436928,0.00470844116750298,0.00758908075697569,-0.026826253429687,765107138.7,"2"
"TUES 2014",-0.518037631787788,0.0232669451506477,0.00458059583635013,0.00678846470653012,-0.0217511947509965,774670345.02,"2"
"ATGE 2014",-0.37112573981621,0.0493841300415001,0.00194847556827586,0.0174073878009863,-0.0884892986114635,2688399470,"2"
"UTI 2014",-0.515141005296975,0.0298536073377346,0.00499395375305417,0.00419040390436391,-0.0202919347116928,229936780.15,"2"
"CENT 2014",-0.481716767026564,0.0124683889179807,0.00353310226376511,0.00595482810533831,0.000413316662752972,395890509.2,"2"
"LANC 2014",-0.458614840447063,0.0181382435010864,0.00947103820142832,0.0171182765761273,-0.08987241542567,2601484080,"2"
"SAM 2014",-0.503558149388369,-0.00492545638383048,0.0107962685393658,0.0259359688090125,-0.062524653250493,3846997492.56,"2"
"WMK 2014",-0.433261332282671,0.0069990942502086,0.00543013781682181,0.0173328342028497,-0.0912922943096584,1284938622.11,"2"
"STRA 2014",-0.505052860753975,0.0389004990272823,0.0075434739521038,0.00480891178026312,-0.00917756013807748,809900169.48,"2"
"GPX 2014",-0.527962824133462,0.0253616889216559,0.00697494817662268,0.00654678375739756,-0.0210672371832637,579984931.89,"2"
