"","X.2","X.1","X","Consolidated.Income","Dividend.payments","Stock.based.compensation","Income.Tax.Expense","Retained.earnings..deficit.","Operating.Cash.Flow","Operating.Expenses","R.D.Expenses","Total.debt","Long.term.debt","Market.Cap","cluster","Sector"
"1","PG 2014",1,"PG",1.1785e+10,-6.911e+09,3.6e+08,2.851e+09,8.499e+10,1.3958e+10,2.1461e+10,0,3.5417e+10,1.9811e+10,212661418090.84,"4","Consumer Defensive"
"2","VIPS 2014",2,"VIPS",121503551.8243,0,36405230.8686,39559573.7811,4285437.5202,526745560.2196,793926703.2612,108330319.6642,622374071.6823,622374071.6823,6253200000,"1","Consumer Defensive"
"3","KR 2014",3,"KR",1.531e+09,-3.19e+08,1.07e+08,7.51e+08,1.0981e+10,3.573e+09,1.7512e+10,0,1.131e+10,9.653e+09,18274698937.28,"1","Consumer Defensive"
"4","RAD 2014",4,"RAD",249414000,0,-10471000,804000,-7515848000,702046000,6586482000,0,5757143000,5707969000,6359738316.4,"1","Consumer Defensive"
"5","GIS 2014",5,"GIS",1861300000,-983300000,39200000,883300000,11787200000,2.541e+09,3412400000,0,8785800000,6423500000,33330057253.44,"1","Consumer Defensive"
"6","PM 2014",6,"PM",7.658e+09,-6.035e+09,0,3.097e+09,2.9249e+10,7.739e+09,7.629e+09,0,2.9455e+10,2.6929e+10,126550098153,"4","Consumer Defensive"
"7","KO 2014",7,"KO",7.124e+09,-5.35e+09,2.09e+08,2.201e+09,6.3408e+10,1.0615e+10,1.8401e+10,0,4.1745e+10,1.9063e+10,184928364569.22,"4","Consumer Defensive"
"8","WMT 2014",8,"WMT",1.6695e+10,-6.139e+09,0,8.105e+09,7.6566e+10,2.3257e+10,9.1353e+10,0,5.6641e+10,4.4559e+10,241647485072.4,"3","Consumer Defensive"
"9","MDLZ 2014",9,"MDLZ",2.201e+09,-9.64e+08,1.41e+08,3.53e+08,1.4529e+10,3.562e+09,9.355e+09,0,1.6656e+10,1.3821e+10,61031608766.1,"1","Consumer Defensive"
"10","MO 2014",10,"MO",5.07e+09,-3.892e+09,0,2.704e+09,2.6277e+10,4.663e+09,2.54e+09,0,1.4693e+10,1.3693e+10,97380679954.74,"4","Consumer Defensive"
"11","ABEV 2014",11,"ABEV",4642132932.7826,-4528576793.0905,60495681.5621,753511077.7319,7.713e+09,7052459631.994,3510927525.3474,0,1022080360.4957,613819001.1265,73093350000,"4","Consumer Defensive"
"12","TAL 2014",12,"TAL",60605772,0,8345290,6679754,144311994,101558366,104956158,0,0,0,15073300000,"1","Consumer Defensive"
"13","BRFS 2014",13,"BRFS",835448742.0203,-272624.8592,0,132407059.7071,1481712354.4874,1878257.6042,1898873450.9951,0,4619526849.4179,4619526849.4179,4241530000,"1","Consumer Defensive"
"14","KHC 2014",14,"KHC",6.72e+08,0,8e+06,1.31e+08,0,2.14e+09,1.709e+09,0,1.3358e+10,1.3358e+10,88488316765.44,"1","Consumer Defensive"
"15","NWL 2014",15,"NWL",377800000,-182500000,29900000,89100000,2111200000,634100000,1598700000,0,2481900000,2084500000,10326199000,"1","Consumer Defensive"
"16","KMB 2014",16,"KMB",1.595e+09,-1.256e+09,5.2e+07,8.56e+08,8.47e+09,2.845e+09,4.162e+09,0,6.956e+09,5.63e+09,43033471612.74,"1","Consumer Defensive"
