"","X","cluster"
"1","PG",4
"2","VIPS",1
"3","KR",1
"4","RAD",1
"5","GIS",1
"6","PM",4
"7","KO",4
"8","WMT",3
"9","MDLZ",1
"10","MO",4
"11","ABEV",4
"12","TAL",1
"13","BRFS",1
"14","KHC",1
"15","NWL",1
"16","KMB",1
"17","CPB",1
"18","TGT",4
"19","HRL",1
"20","CAG",1
"21","PEP",4
"22","COST",1
"23","COTY",1
"24","MNST",1
"25","SJM",1
"26","CL",1
"27","ADM",1
"28","DG",1
"29","TAP",1
"30","SYY",1
"31","CHD",1
"32","BG",1
"33","PBH",1
"34","BIG",1
"35","STZ",1
"36","SFM",1
"37","AVP",1
"38","HMHC",1
"39","POST",1
"40","EL",1
"41","PPC",1
"42","DLTR",1
"43","GNC",1
"44","DF",1
"45","HLF",1
"46","BUD",4
"47","CHGG",1
"48","AGRO",1
"49","CASY",1
"50","MGPI",1
"51","EDU",1
"52","TSN",1
"53","MKC",1
"54","HAIN",1
"55","HSY",1
"56","PFGC",1
"57","UN",4
"58","CHEF",1
"59","PRMW",1
"60","FRPT",1
"61","FMX",1
"62","CLX",1
"63","VGR",1
"64","SPB",1
"65","PETS",1
"66","THS",1
"67","OLLI",1
"68","BURL",1
"69","IPAR",1
"70","INGR",1
"71","SAFM",1
"72","DEO",1
"73","UNFI",1
"74","UL",4
"75","LOPE",1
"76","EPC",1
"77","CCU",1
"78","CALM",1
"79","CORE",1
"80","CRESY",1
"81","FIZZ",1
"82","UVV",1
"83","FDP",1
"84","NUS",1
"85","PSMT",1
"86","CENTA",1
"87","LBY",1
"88","HELE",1
"89","CVGW",1
"90","TUES",1
"91","ATGE",1
"92","UTI",1
"93","CENT",1
"94","LANC",1
"95","SAM",1
"96","WMK",1
"97","STRA",1
"98","GPX",1
"99","APEI",1
"100","KOF",1
"101","NBEV",1
"102","NAUH",1
"103","IMKTA",1
"104","CECO",1
"105","TR",1
"106","ANDE",1
"107","VLGEA",1
"108","REV",1
"109","JBSS",1
"110","LRN",1
"111","HLG",1
"112","JJSF",1
"113","RIBT",1
"114","FC",1
"115","LNDC",1
"116","LMNR",1
"117","CELH",1
"118","FARM",1
"119","BREW",1
"120","SEED",1
"121","COKE",1
"122","ANFI",1
"123","DL",1
"124","COE",1
"125","LBCC",1
"126","SENEA",1
