"","symbols"
"1","SPY"
"2","CMCSA"
"3","KMI"
"4","INTC"
"5","MU"
"6","GDX"
"7","GE"
"8","BAC"
"9","EEM"
"10","XLF"
"11","AAPL"
"12","MSFT"
"13","SIRI"
"14","HPQ"
"15","CX"
"16","EFA"
"17","CZR"
"18","QQQ"
"19","F"
"20","AMD"
"21","SNAP"
"22","FB"
"23","WFC"
"24","AIG"
"25","T"
"26","C"
"27","VALE"
"28","MS"
"29","AKS"
"30","JPM"
"31","ORCL"
"32","NKE"
"33","VWO"
"34","PG"
"35","FXI"
"36","IWM"
"37","GSM"
"38","HK"
"39","BBD"
"40","PFE"
"41","JD"
"42","NOK"
"43","TWTR"
"44","AMLP"
"45","AVGO"
"46","AMAT"
"47","WFT"
"48","UVXY"
"49","DWDP"
"50","VXX"
"51","VEA"
"52","ZNGA"
"53","XOM"
"54","QCOM"
"55","TVIX"
"56","VIPS"
"57","GLD"
"58","CSCO"
"59","AXP"
"60","BMY"
"61","V"
"62","USO"
"63","GRPN"
"64","WP"
"65","OIH"
"66","GERN"
"67","KEY"
"68","RF"
"69","KR"
"70","HAL"
"71","BABA"
"72","MRO"
"73","CLNS"
"74","GILD"
"75","IEMG"
"76","GM"
"77","FCX"
"78","CRM"
"79","ATVI"
"80","SQ"
"81","P"
"82","XLK"
"83","TWX"
"84","NUE"
"85","XOP"
"86","SWN"
"87","LOW"
"88","RAD"
"89","VEON"
"90","HYG"
"91","APC"
"92","JNK"
"93","EWJ"
"94","XLU"
"95","ESV"
"96","SLB"
"97","FLEX"
"98","FOXA"
"99","ABBV"
"100","GIS"
"101","VZ"
"102","XRX"
"103","CVLT"
"104","IEFA"
"105","X"
"106","MAT"
"107","CTL"
"108","MIK"
"109","DVN"
"110","BKLN"
"111","IBN"
"112","MPC"
"113","EZU"
"114","PM"
"115","MSCI"
"116","RDN"
"117","KO"
"118","AABA"
"119","SRC"
"120","NFX"
"121","COP"
"122","CHK"
"123","DIS"
"124","LEN"
"125","CVX"
"126","PYPL"
"127","GDXJ"
"128","CTRP"
"129","AUY"
"130","DBEF"
"131","WMT"
"132","CLF"
"133","MRK"
"134","MDLZ"
"135","RSPP"
"136","GG"
"137","MGM"
"138","GFI"
"139","KGC"
"140","SCHW"
"141","NBR"
"142","SRCI"
"143","JAG"
"144","NVDA"
"145","JNJ"
"146","WDC"
"147","BSX"
"148","STI"
"149","ON"
"150","ITUB"
"151","BK"
"152","HMY"
"153","APA"
"154","HOME"
"155","NGD"
"156","KOS"
"157","DAL"
"158","INFY"
"159","CCL"
"160","BHGE"
"161","MFGP"
"162","PBR"
"163","DISCA"
"164","LPI"
"165","ABT"
"166","FITB"
"167","PTEN"
"168","USB"
"169","BA"
"170","GGB"
"171","JBLU"
"172","QEP"
"173","EBAY"
"174","HBAN"
"175","DB"
"176","MRVL"
"177","ABX"
"178","WBA"
"179","CDNA"
"180","ETP"
"181","RSX"
"182","KNX"
"183","KBH"
"184","DISCK"
"185","PGR"
"186","XLE"
"187","MO"
"188","MDT"
"189","RIG"
"190","BCS"
"191","CDEV"
"192","DNR"
"193","EOG"
"194","XLP"
"195","HPE"
"196","TXN"
"197","OAS"
"198","OKE"
"199","CVS"
"200","SVXY"
"201","HES"
"202","GDDY"
"203","BX"
"204","NLSN"
"205","TS"
"206","BOX"
"207","OXY"
"208","OCLR"
"209","CVE"
"210","SYF"
"211","IAU"
"212","MTG"
"213","LUV"
"214","FTI"
"215","AA"
"216","ABEV"
"217","VTI"
"218","EQR"
"219","EWG"
"220","ESRX"
"221","MDR"
"222","ETSY"
"223","ANDV"
"224","TAL"
"225","UNH"
"226","ECA"
"227","GES"
"228","AMZN"
"229","NFLX"
"230","ENTG"
"231","CSX"
"232","WYNN"
"233","FOX"
"234","CNC"
"235","ZION"
"236","CLDR"
"237","RES"
"238","CI"
"239","KRE"
"240","WMB"
"241","SYNH"
"242","HBI"
"243","BBT"
"244","XL"
"245","PAYX"
"246","CELG"
"247","D"
"248","CHS"
"249","CFG"
"250","XLI"
"251","SU"
"252","SLV"
"253","MMM"
"254","BIIB"
"255","JBL"
"256","ACN"
"257","NTR"
"258","PAH"
"259","BRFS"
"260","SBUX"
"261","EWU"
"262","PE"
"263","LVS"
"264","EGO"
"265","GSK"
"266","TEVA"
"267","PAA"
"268","SQQQ"
"269","VLO"
"270","CSRA"
"271","IMAX"
"272","FNB"
"273","ADSK"
"274","HD"
"275","BIDU"
"276","AR"
"277","ARNC"
"278","VOYA"
"279","SPXU"
"280","MLCO"
"281","SJNK"
"282","CWB"
"283","SM"
"284","NTRS"
"285","DHI"
"286","UAL"
"287","HRB"
"288","BTU"
"289","JBGS"
"290","IPG"
"291","DE"
"292","KHC"
"293","COG"
"294","IBM"
"295","WTW"
"296","NYT"
"297","DBJP"
"298","AAL"
"299","OLN"
"300","JCI"
"301","VICI"
"302","VST"
"303","NWL"
"304","EPD"
"305","KMB"
"306","AEP"
"307","IT"
"308","CAT"
"309","AU"
"310","MYL"
"311","XRAY"
"312","KKR"
"313","IEUR"
"314","LQD"
"315","CMC"
"316","JCP"
"317","XBI"
"318","SYMC"
"319","TMUS"
"320","EWW"
"321","RMP"
"322","NRG"
"323","CPB"
"324","ATHM"
"325","WRB"
"326","MOMO"
"327","TGT"
"328","TV"
"329","GLW"
"330","MAS"
"331","DOV"
"332","HRL"
"333","S"
"334","TECK"
"335","AES"
"336","PPL"
"337","IXUS"
"338","SEE"
"339","NLY"
"340","FRC"
"341","EWT"
"342","STX"
"343","ADBE"
"344","K"
"345","RTN"
"346","M"
"347","TSLA"
"348","CY"
"349","KBE"
"350","TSM"
"351","STL"
"352","NYCB"
"353","TRQ"
"354","NBL"
"355","FDC"
"356","BAH"
"357","BUFF"
"358","ARI"
"359","MET"
"360","AFL"
"361","TPR"
"362","WPM"
"363","LNT"
"364","BTG"
"365","UTX"
"366","WLL"
"367","LKQ"
"368","PCG"
"369","CRZO"
"370","CENX"
"371","PGNX"
"372","CLR"
"373","FCAU"
"374","IMGN"
"375","HL"
"376","LULU"
"377","UAA"
"378","CAG"
"379","STLD"
"380","PEP"
"381","SO"
"382","ETE"
"383","COST"
"384","GKOS"
"385","CCI"
"386","ZTO"
"387","VGK"
"388","GS"
"389","IJR"
"390","ZAYO"
"391","ADT"
"392","ALTR"
"393","GGP"
"394","EMR"
"395","CNP"
"396","ALXN"
"397","COTY"
"398","MA"
"399","AWI"
"400","IYR"
"401","ADP"
"402","TZA"
"403","MULE"
"404","BBVA"
"405","MNST"
"406","FEZ"
"407","AER"
"408","GTN"
"409","EWY"
"410","CDE"
"411","NCR"
"412","AMT"
"413","PSTG"
"414","VRX"
"415","SJM"
"416","ETN"
"417","DUK"
"418","CL"
"419","IDRA"
"420","KAR"
"421","NEE"
"422","PXD"
"423","WPX"
"424","ADM"
"425","VTR"
"426","VMW"
"427","RIGL"
"428","DKS"
"429","FG"
"430","WTI"
"431","LRCX"
"432","NXPI"
"433","CE"
"434","HUN"
"435","CSTM"
"436","VER"
"437","GPK"
"438","WELL"
"439","TJX"
"440","PLD"
"441","KSS"
"442","XEC"
"443","TLT"
"444","DRI"
"445","OZRK"
"446","ENDP"
"447","ATI"
"448","IAG"
"449","VFC"
"450","BDN"
"451","HON"
"452","YNDX"
"453","USG"
"454","GOOGL"
"455","ICE"
"456","OMER"
"457","WY"
"458","HEFA"
"459","BLL"
"460","CGNX"
"461","AMGN"
"462","FSLR"
"463","IVZ"
"464","DG"
"465","SID"
"466","SLM"
"467","SLCA"
"468","HCP"
"469","PF"
"470","SGU"
"471","ODP"
"472","PK"
"473","TLGT"
"474","TOL"
"475","PDCO"
"476","ITB"
"477","Z"
"478","BCO"
"479","CME"
"480","BKD"
"481","PPBI"
"482","JMEI"
"483","ETFC"
"484","AIV"
"485","DPS"
"486","EXC"
"487","TAP"
"488","MON"
"489","UNP"
"490","IWD"
"491","BDX"
"492","GME"
"493","PEGI"
"494","MX"
"495","RLJ"
"496","LB"
"497","TIF"
"498","DLPH"
"499","USMV"
"500","NCLH"
"501","NOV"
"502","CNDT"
"503","FNSR"
"504","LMT"
"505","MTZ"
"506","TBT"
"507","WEN"
"508","VNQ"
"509","GPS"
"510","SYY"
"511","CEF"
"512","WDR"
"513","FTV"
"514","BKI"
"515","CTSH"
"516","HOLX"
"517","EIX"
"518","URA"
"519","CTXS"
"520","AMTD"
"521","CPE"
"522","XME"
"523","CF"
"524","PNC"
"525","SABR"
"526","WIT"
"527","LYB"
"528","DISH"
"529","NE"
"530","MGA"
"531","AEO"
"532","XHB"
"533","BP"
"534","XEL"
